(0, array([ 0.74346118,  0.46465633]))
(1, array([ 1.65755662, -0.63203157]))
(1, array([-0.15878875,  0.25584465]))
(0, array([-1.088752  , -0.39694315]))
(1, array([ 1.768052  , -0.25443213]))
(1, array([ 1.95416454, -0.12850579]))
(0, array([ 0.93694537,  0.36597075]))
(1, array([ 0.88446589, -0.47595401]))
(0, array([ 0.80950246,  0.3505231 ]))
(1, array([ 1.2278091 , -0.64785108]))
(0, array([-0.38454276,  0.50916381]))
(1, array([ 0.09252135, -0.31618454]))
(1, array([ 1.79531658, -0.32235591]))
(1, array([ 1.43861749, -0.15796611]))
(0, array([-0.82364866,  0.86822754]))
(0, array([ 0.99633397,  0.1731019 ]))
(0, array([ 0.66388701,  0.94659669]))
(1, array([ 0.13229471, -0.26032619]))
(0, array([ 0.2482245,  0.7860477]))
(0, array([-1.00392102,  1.15207238]))
(1, array([ 2.08208438,  0.00715606]))
(1, array([ 0.87081342, -0.4366643 ]))
(0, array([ 0.37268327,  1.01743002]))
(1, array([ 1.26735927, -0.11813675]))
(0, array([-0.13270154,  1.26653562]))
(1, array([ 0.20331   ,  0.19519454]))
(1, array([ 1.98373996, -0.11222315]))
(1, array([ 1.82749513, -0.03085446]))
(1, array([-0.03857867,  0.0838378 ]))
(0, array([ 0.03351023,  0.63113817]))
(0, array([ 0.94193283,  0.63204507]))
(0, array([-0.39131894,  0.40925201]))
(1, array([ 0.88357043, -0.35868845]))
(1, array([-0.01141219,  0.30437635]))
(0, array([ 0.75877114,  0.76057045]))
(1, array([ 1.79414416,  0.28323389]))
(1, array([ 0.56116634, -0.0330033 ]))
(0, array([ 0.87161309,  0.01715969]))
(0, array([-0.75191922,  0.63798317]))
(1, array([-0.21911253,  0.49662864]))
(1, array([ 0.63711933, -0.55537183]))
(0, array([-0.25531442,  0.83953933]))
(0, array([ 0.57753017,  0.64564015]))
(1, array([ 0.15931878, -0.02835184]))
(1, array([ 1.53296943, -0.36277826]))
(0, array([-0.24648981,  1.09136047]))
(0, array([ 1.16443301,  0.01495781]))
(0, array([-0.70574528,  0.54883003]))
(1, array([ 0.16919147, -0.30895665]))
(1, array([ 1.0717818 , -0.40141988]))
(0, array([-0.8970433 ,  0.87690996]))
(1, array([ 0.4828491 , -0.21452374]))
(1, array([ 2.25536302,  0.02862685]))
(0, array([-0.62523133,  0.03868576]))
(1, array([ 1.22821377, -0.50119159]))
(0, array([ 0.84248307,  0.55728315]))
(0, array([ 0.45857236,  0.5017019 ]))
(1, array([ 0.98031957, -0.56811367]))
(0, array([ 0.1059936 ,  0.90514125]))
(0, array([-0.21582418,  1.03521642]))
(1, array([ 0.06721632, -0.1649077 ]))
(0, array([-1.07873435,  0.36644163]))
(1, array([ 1.60172165, -0.37604995]))
(0, array([ 1.02592325,  0.42143427]))
(1, array([ 1.06739115, -0.38783511]))
(0, array([-1.35462041,  0.28524762]))
(0, array([-0.20784982,  1.09043495]))
(1, array([ 1.61652485, -0.29469483]))
(0, array([ 0.26375409,  0.91508367]))
(0, array([-0.99805184,  0.62420544]))
(1, array([ 0.62273618, -0.52804644]))
(0, array([-1.0873102 ,  0.78128608]))
(1, array([ 0.01262924, -0.59715374]))
(1, array([-0.52953439,  0.69307316]))
(1, array([ 0.78362442, -0.25844144]))
(0, array([-0.94262451,  0.57258351]))
(1, array([ 0.09048712,  0.0890939 ]))
(0, array([ 0.99716574,  0.35017425]))
(0, array([ 0.4630177 ,  0.86392418]))
(1, array([ 0.71787709, -0.09708361]))
(1, array([ 2.13330659,  0.11200406]))
(0, array([-0.41467068,  0.92254691]))
(1, array([ 0.6233932 , -0.69422694]))
(1, array([ 2.04970274,  0.66368306]))
(1, array([-0.00353234,  0.21487064]))
(0, array([-0.27631969,  1.34161045]))
(0, array([ 0.82262609, -0.02317445]))
(0, array([-0.46610015,  0.98764879]))
(1, array([ 0.64426474, -0.36209808]))
(1, array([ 1.96682571,  0.2646737 ]))
(0, array([ 0.71060915,  0.80990546]))
(0, array([ 1.12820353,  0.4664342 ]))
(1, array([ 1.99150162,  0.02534858]))
(0, array([-0.66342048,  0.85301441]))
(1, array([ 2.0436285 ,  0.24563453]))
(1, array([ 1.77377397, -0.10513907]))
(1, array([ 1.773464  , -0.34102513]))
(1, array([ 0.66137686, -0.31314104]))
(0, array([-1.15442774,  0.40574243]))
(1, array([ 0.04167562, -0.07462092]))
(1, array([ 1.40426435, -0.93206382]))
(1, array([ 1.99317676,  0.48903983]))
(0, array([ 0.17673342,  1.3178874 ]))
(0, array([ 1.12344625, -0.09556327]))
(0, array([-0.64018301,  0.75214137]))
(1, array([ 0.17295579,  0.60135526]))
(0, array([-0.97644617,  0.03612864]))
(0, array([-0.56357758,  1.15774717]))
(1, array([ 1.60440089, -0.35116358]))
(0, array([ 0.13387667,  0.6944329 ]))
(0, array([-0.59909677,  0.76903039]))
(0, array([ 0.1023533 ,  1.09326207]))
(0, array([-0.22047436,  1.28343927]))
(0, array([-0.70416708,  0.30649274]))
(0, array([ 0.95709601,  0.30502143]))
(1, array([ 1.65936346, -0.70351567]))
(0, array([ 0.18911691,  0.64887424]))
(1, array([ 2.02773677,  0.25021451]))
(1, array([ 0.6515764 , -0.40677494]))
(0, array([ 0.55688998,  0.26120887]))
